recordID,decimalLatitude,decimalLongitude,eventDate,family,scientificName,taxonConceptID,dataResourceName,basisOfRecord,recordedBy,ABS_SA2_region_2016
e8346e56-54d7-45aa-b7ab-ffb10bd064c5,-35.24190003,148.952,1993-11-14T13:00:00Z,Agamidae,Intellagama lesueurii,urn:lsid:biodiversity.org.au:afd.taxon:90be1d02-4bf4-478f-976d-25c04395d1f8,ACT Wildlife Atlas,UNKNOWN,,ACT - SOUTH WEST
5011b0da-283c-4d7c-a63c-bf7ee825161b,-35.241716,149.17492,2013-11-02T02:05:00Z,Agamidae,Pogona barbata,urn:lsid:biodiversity.org.au:afd.taxon:25b7606b-0b61-4f2d-967e-9c5c210fe332,iNaturalist Australia,HUMAN_OBSERVATION,"Rykers, Ellen",MAJURA
88c08728-3968-4df3-9321-6b9a6a6ca03f,-35.241702,149.178961,2011-09-25T16:58:00Z,Scincidae,Tiliqua rugosa aspera,urn:lsid:biodiversity.org.au:afd.taxon:73c1d3e6-b064-4180-82de-345b4667cfb1,iNaturalist Australia,HUMAN_OBSERVATION,"Squires, Kai",MAJURA
0fed942c-0cf6-4f9c-8ae0-392799b9be09,-35.2417,148.9833,1989-12-22T13:00:00Z,Agamidae,Diporiphora nobbi,urn:lsid:biodiversity.org.au:afd.taxon:ed660d9e-4dea-4ecd-a0e8-f93c248cb677,Australian National Wildlife Collection provider for OZCAM,PRESERVED_SPECIMEN,,WEST BELCONNEN
2f729760-771f-400d-857a-a03f116774a7,-35.2417,149.0833,1983-12-08T13:00:00Z,Pygopodidae,Delma inornata,urn:lsid:biodiversity.org.au:afd.taxon:9b0f30cf-b21b-40b4-813f-f7b2c177a5b9,Australian National Wildlife Collection provider for OZCAM,PRESERVED_SPECIMEN,,BRUCE
08572fdb-6ce7-4f01-8fc2-771bb5d49720,-35.2417,149.1208,1988-12-13T13:00:00Z,Scincidae,Tiliqua scincoides,urn:lsid:biodiversity.org.au:afd.taxon:78d80a58-c9ee-42d4-a0e1-c43bcccf9d56,Australian National Wildlife Collection provider for OZCAM,PRESERVED_SPECIMEN,,LYNEHAM
733d1364-512c-40a1-a11b-2375565aa199,-35.2417,149.1833,1968-11-15T14:00:00Z,Scincidae,Morethia boulengeri,urn:lsid:biodiversity.org.au:afd.taxon:ec9135c3-9e95-4b79-ba2e-f35266863429,Australian National Wildlife Collection provider for OZCAM,PRESERVED_SPECIMEN,,MAJURA
f5afaa70-433f-48b0-8b42-4f8a1212050b,-35.241653,148.976791,2016-02-28T05:35:00Z,Scincidae,Egernia cunninghami,urn:lsid:biodiversity.org.au:afd.taxon:d7fd5a96-f5a0-4f59-b138-39ce55c962b2,Earth Guardians Weekly Feed,HUMAN_OBSERVATION,<a href='https://bee.questagame.com/#/profile/863?questagame_user_id=863'>Brian Rosenberg | questagame.com</a>,MOLONGLO CORRIDOR
bb96fc52-2cb0-4d5e-b74e-d66f3a978e45,-35.241605,149.112136,2018-01-04T08:19:00Z,Agamidae,Pogona barbata,urn:lsid:biodiversity.org.au:afd.taxon:25b7606b-0b61-4f2d-967e-9c5c210fe332,iNaturalist Australia,HUMAN_OBSERVATION,,KALEEN
12a9a225-3420-4ba6-89f3-8d95a91b4dd6,-35.2416,149.119706,2016-04-07T22:31:00Z,Scincidae,Tiliqua scincoides,urn:lsid:biodiversity.org.au:afd.taxon:78d80a58-c9ee-42d4-a0e1-c43bcccf9d56,Earth Guardians Weekly Feed,HUMAN_OBSERVATION,<a href='https://bee.questagame.com/#/profile/2283?questagame_user_id=2283'>Eric Rittmeyer | questagame.com</a>,LYNEHAM
